date,close,volume,rsi_14,ema_200,macd,macd_signal,atr_14,adx_14,return_1d,return_5d,return_10d,volatility_10,volatility_20,ema20_ema50_ratio,ema50_ema200_ratio,macd_hist,dist_bb_upper,dist_bb_lower,target,vol_ma_20,obv,tr,bollinger_bandwidth,volatility_regime,bollinger_width_pct,atr_pct,gap_type,day_of_week,month
2025-09-05,24741.0,210100,49.30653634290071,24286.525058785606,-51.411189457594446,-59.30306536225224,212.4753069196429,20.958953303577125,0.0002708473067116,0.0128608639938745,-0.0136642248467633,0.0062969627602711,0.0061450772493612,0.9978091030343532,1.0206738299285258,7.891875904657795,0.014919888506477,0.0176396432910452,0,311690.0,19715300,210.75,0.0334508638517693,1,0.0334508638517693,0.008587983788838,0,4,9
2025-09-08,24773.150390625,213200,50.38769492255239,24291.36710188849,-42.28005527649657,-55.89846334510111,194.8896484375,19.470894556007867,0.0012994782193525,0.0060141849326769,-0.0038982239827239,0.0058024255393951,0.0061476164232168,0.9979827478850242,1.0204454022953608,13.618408068604545,0.0138634379930357,0.0184607634271921,0,291515.0,19928500,144.5,0.0332403392340734,1,0.0332403392340734,0.0078669707067718,0,0,9
2025-09-09,24868.599609375,226900,53.554708558654085,24297.11070892816,-27.03002608587485,-50.12477589325586,193.4574497767857,18.12452550608377,0.0038529301782352,0.0117577179690824,-0.0039711383935276,0.0057964154924034,0.0057325982358732,0.9983572052033712,1.0203342445311687,23.094749807381007,0.0097983054885676,0.0200223950254247,0,287230.0,20155400,118.650390625,0.0307526018487444,1,0.0307526018487444,0.0077791855116705,0,1,9
2025-09-10,24973.099609375,244100,56.80569817314366,24303.83696664405,-6.437780696232949,-41.38737685385128,194.03599330357144,17.646429946610724,0.0042020862308871,0.0104409588476657,0.0105636246232978,0.0047767391571421,0.0054686747654072,0.9989250814188976,1.0203454074860765,34.94959615761833,0.0065817883877668,0.0235782330778224,0,287380.0,20399500,167.099609375,0.0312087480017242,1,0.0312087480017242,0.0077698001585165,0,2,9
2025-09-11,25005.5,224600,57.79217192425278,24310.818688368985,12.353756461707237,-30.63915019073957,193.6110491071429,17.210721125626677,0.0012974116602184,0.0109644991038349,0.020595145538736,0.0033903097833212,0.0053524959816735,0.9994956909208657,1.0203865986856235,42.99290665244681,0.0060092045588651,0.023503144954478,0,286760.0,20624100,97.150390625,0.030546218583443,1,0.030546218583443,0.0077427385618021,0,3,9
2025-09-12,25114.0,225700,61.00393865631343,24318.81054221606,35.59095786508624,-17.393128579574416,187.05747767857144,17.324789474168604,0.0043390454100098,0.0150761893213693,0.028130946135652,0.0029363795205255,0.0053128383639785,1.0002382070461815,1.020547241705838,52.984086444660655,0.0033518343135617,0.0274411744226643,0,286245.0,20849800,133.94921875,0.0319781263396392,1,0.0319781263396392,0.0074483347009067,0,4,9
2025-09-15,25069.19921875,185400,59.007309823263896,24326.277096211423,49.81729598322636,-3.951043667014261,182.64662388392856,17.430710083528965,-0.0017838966811339,0.0119503907842515,0.0180364475771226,0.0025867151797889,0.0053487108020878,1.0007811219789642,1.0206381543471532,53.76833965024062,0.0062673793172103,0.0250788410290501,1,282005.0,20664400,89.69921875,0.0324659090979006,1,0.0324659090979006,0.0072856983699472,0,0,9
2025-09-16,25239.099609375,240100,63.84071075378266,24335.35990728768,73.94887642783578,11.628940351955748,176.50739397321428,18.125320203430608,0.0067772563910986,0.0148983057276907,0.0268311937737366,0.0026750064141957,0.0051054454356637,1.0016325347695507,1.0209191645159263,62.31993607588004,0.0017129868226963,0.0324262070022927,0,275855.0,20904500,192.201171875,0.0355723444456913,1,0.0355723444456913,0.0069934108864822,0,1,9
2025-09-17,25330.25,268900,66.14689374967335,24345.259311195263,99.28391931688384,29.15993614494137,167.71805245535714,19.14067760414303,0.0036114755294653,0.0143014041593347,0.024891683379292,0.0025121474994629,0.0050872154277545,1.0025705611579778,1.021286589869499,70.12398317194247,0.0005949213441647,0.0370144136014461,0,276685.0,21173400,107.400390625,0.0393020437291436,1,0.0393020437291436,0.0066212553154965,0,2,9
2025-09-18,25423.599609375,272200,68.37168175556903,24355.98906540601,125.44856370354682,48.41766165666246,164.25013950892858,20.49181849224505,0.0036853015416349,0.0167203059077003,0.0278681347906761,0.0024631048968642,0.0051102196312334,1.003584625088212,1.0217385136934336,77.03090204688436,-0.0002520042285339,0.0419099711076505,0,275940.0,21445600,119.19921875,0.0436605803661183,1,0.0436605803661183,0.0064605383200088,0,3,9
